App ID,VM,Host Environment,OS,# of CPUs,Memory,Disk (GB),DB Instance Count,PeakCPU%
5057,LNZODDDA08,Production,Microsoft Windows Server 2008 R2 (64-bit),2,6,457.8,,100
5057,LNZODDDP01,Production,Microsoft Windows Server 2008 R2 (64-bit),2,8,109,,100
5057,LNZSHCDA08,Production,Microsoft Windows Server 2008 R2 (64-bit),4,8,448.8,,100
9212,ODBDHDMT001,Test,CentOS 4/5/6/7 (64-bit),4,1,40,,100
9212,ODBDHDMT001,Test,CentOS 4/5/6/7 (64-bit),4,16,325,,100
9212,ODBDHDMT002,Test,Red Hat Enterprise Linux 6 (64-bit),4,0,357,,100
7836,ODC003ATRT01,Test,Microsoft Windows Server 2008 R2 (64-bit),2,8,205,,100
3947,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
3958,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
3961,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
4995,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
4997,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
5007,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
5055,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
5228,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
6721,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
6985,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
7161,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
7202,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
7203,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
7284,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
7285,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
7286,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
7287,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
7401,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
7457,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
9089,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
9090,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
9091,ODC003B2CD01,Development,Red Hat Enterprise Linux 5 (64-bit),3,32,747,,100
3947,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
3958,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
3961,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
4995,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
4997,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
5007,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
5055,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
5228,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
6721,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
6985,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
7106,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
7161,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
7202,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
7203,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
7284,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
7285,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
7286,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
7287,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
7401,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
7457,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
9089,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
9090,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
9091,ODC003B2CD02,Development,Red Hat Enterprise Linux 5 (64-bit),2,16,566,,100
567,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
3947,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
3958,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
3961,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
4995,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
4997,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
5007,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
5055,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
5228,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
5775,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
6443,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
6721,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
6875,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
6985,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
7137,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
7202,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
7203,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
7284,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
7285,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
7286,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
7401,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
7457,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
7955,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
9089,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
9090,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
9091,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
11446,ODC003B2CP01,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,546,,100
567,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
3947,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
3958,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
3961,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
4995,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
4997,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
5007,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
5055,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
5228,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
5775,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
6443,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
6721,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
6875,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
7137,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
7202,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
7203,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
7284,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
7285,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
7286,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
7287,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
7401,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
7457,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
7955,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
9089,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
9090,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
9091,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
11446,ODC003B2CP02,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
567,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
3947,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
3958,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
3961,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
4995,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
4997,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
5007,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
5055,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
5228,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
5775,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
6443,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
6721,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
6875,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
6985,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
7137,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
7202,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
7203,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
7284,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
7285,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
7286,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
7287,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
7401,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
7457,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
7955,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
9089,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
9090,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
9091,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
11446,ODC003B2CP03,Production,Red Hat Enterprise Linux 5 (64-bit),3,16,551,,100
567,ODC003B2CP04,Production,Red Hat Enterprise Linux 5 (64-bit),4,37,643,,100
3947,ODC003B2CP04,Production,Red Hat Enterprise Linux 5 (64-bit),4,37,643,,100
3958,ODC003B2CP04,Production,Red Hat Enterprise Linux 5 (64-bit),4,37,643,,100
3961,ODC003B2CP04,Production,Red Hat Enterprise Linux 5 (64-bit),4,37,643,,100
4995,ODC003B2CP04,Production,Red Hat Enterprise Linux 5 (64-bit),4,37,643,,100
4997,ODC003B2CP04,Production,Red Hat Enterprise Linux 5 (64-bit),4,37,643,,100
5007,ODC003B2CP04,Production,Red Hat Enterprise Linux 5 (64-bit),4,37,643,,100
5055,ODC003B2CP04,Production,Red Hat Enterprise Linux 5 (64-bit),4,37,643,,100
5228,ODC003B2CP04,Production,Red Hat Enterprise Linux 5 (64-bit),4,37,643,,100
6721,ODC003B2CP04,Production,Red Hat Enterprise Linux 5 (64-bit),4,37,643,,100
6875,ODC003B2CP04,Production,Red Hat Enterprise Linux 5 (64-bit),4,37,643,,100
6985,ODC003B2CP04,Production,Red Hat Enterprise Linux 5 (64-bit),4,37,643,,100
7137,ODC003B2CP04,Production,Red Hat Enterprise Linux 5 (64-bit),4,37,643,,100
7202,ODC003B2CP04,Production,Red Hat Enterprise Linux 5 (64-bit),4,37,643,,100
7203,ODC003B2CP04,Production,Red Hat Enterprise Linux 5 (64-bit),4,37,643,,100
7284,ODC003B2CP04,Production,Red Hat Enterprise Linux 5 (64-bit),4,37,643,,100
