,App ID,VM,Host Environment,OS,# of CPUs,PeakCPU%,Memory,MemUsed,Disk (GB),Environment,Target Region,DB Instance Count,RDS,cores_calc,calc_family,mem_cpu_ratio,AWS_Region,AWS_OS,ec2_instance_type,one_hr_rate,one_yr_rate,three_yr_rate,AWS_DB,ebs_month_rate
1070,9316,ODC005PDBD01,Development,Microsoft Windows Server 2008 R2 (64-bit),2,1,8,8,149.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,22.499
1071,9316,odc005pdbt01,Test,Microsoft Windows Server 2008 R2 (64-bit),2,1,8,8,201.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,30.351
1072,9316,odc005pdbt02,Test,Microsoft Windows Server 2008 R2 (64-bit),2,1,4,4,118.0,,,,False,3.0,c,1.3333333333333333,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,17.817999999999998
1073,-,ODC005PGMT01,Test,Red Hat Enterprise Linux 7 (64-bit),1,1,6,6,48.0,,,,False,2.0,c,3.0,us-east-1,RHEL,c5.xlarge,0.23,1401.0,3206.0,,7.247999999999999
1074,-,ODC005PGMT02,Test,Red Hat Enterprise Linux 7 (64-bit),2,1,12,12,83.0,,,,False,3.0,m,4.0,us-east-1,RHEL,m5.xlarge,0.252,1528.0,3514.0,,12.533
1075,8016,ODC005PTDDT01,Test,Red Hat Enterprise Linux 6 (64-bit),1,1,6,6,45.0,,,,False,2.0,c,3.0,us-east-1,RHEL,c5.xlarge,0.23,1401.0,3206.0,,6.795
1076,8016,ODC005PTDDT02,Test,Red Hat Enterprise Linux 6 (64-bit),2,1,12,12,94.0,,,,False,3.0,m,4.0,us-east-1,RHEL,m5.xlarge,0.252,1528.0,3514.0,,14.193999999999999
1077,8615,ODC005QMTS01,Staging,Microsoft Windows Server 2008 R2 (64-bit),4,1,8,8,95.0,,,,False,5.0,c,1.6,us-east-1,Windows,c5.2xlarge,0.708,4975.0,12930.0,,14.344999999999999
1078,8615,ODC005QMTS02,Staging,Microsoft Windows Server 2008 R2 (64-bit),4,1,8,8,95.0,,,,False,5.0,c,1.6,us-east-1,Windows,c5.2xlarge,0.708,4975.0,12930.0,,14.344999999999999
1079,8615,ODC005QMTS03,Staging,Microsoft Windows Server 2008 R2 (64-bit),4,1,8,8,95.0,,,,False,5.0,c,1.6,us-east-1,Windows,c5.2xlarge,0.708,4975.0,12930.0,,14.344999999999999
1080,8615,ODC005QMTS04,Staging,Microsoft Windows Server 2008 R2 (64-bit),2,1,8,8,95.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,14.344999999999999
